type,zone
selling,http://idealista.com/venta-viviendas/a-coruna-provincia/mapa
selling,http://idealista.com/venta-viviendas/alava/mapa
selling,http://idealista.com/venta-viviendas/albacete-provincia/mapa
selling,http://idealista.com/venta-viviendas/alicante/mapa
selling,http://idealista.com/venta-viviendas/almeria-provincia/mapa
selling,http://idealista.com/venta-viviendas/andorra-provincia/mapa
selling,http://idealista.com/venta-viviendas/asturias/mapa
selling,http://idealista.com/venta-viviendas/avila-provincia/mapa
selling,http://idealista.com/venta-viviendas/badajoz-provincia/mapa
selling,http://idealista.com/venta-viviendas/balears-illes/mapa
selling,http://idealista.com/venta-viviendas/barcelona-provincia/mapa
selling,http://idealista.com/venta-viviendas/burgos-provincia/mapa
selling,http://idealista.com/venta-viviendas/caceres-provincia/mapa
selling,http://idealista.com/venta-viviendas/cadiz-provincia/mapa
selling,http://idealista.com/venta-viviendas/cantabria/mapa
selling,http://idealista.com/venta-viviendas/castellon/mapa
selling,http://idealista.com/venta-viviendas/cerdanya-francesa/mapa
selling,http://idealista.com/venta-viviendas/ceuta-provincia/mapa
selling,http://idealista.com/venta-viviendas/ciudad-real-provincia/mapa
selling,http://idealista.com/venta-viviendas/cordoba-provincia/mapa
selling,http://idealista.com/venta-viviendas/cuenca-provincia/mapa
selling,http://idealista.com/venta-viviendas/girona-provincia/mapa
selling,http://idealista.com/venta-viviendas/granada-provincia/mapa
selling,http://idealista.com/venta-viviendas/guadalajara-provincia/mapa
selling,http://idealista.com/venta-viviendas/guipuzcoa/mapa
selling,http://idealista.com/venta-viviendas/huelva-provincia/mapa
selling,http://idealista.com/venta-viviendas/huesca-provincia/mapa
selling,http://idealista.com/venta-viviendas/jaen-provincia/mapa
selling,http://idealista.com/venta-viviendas/la-rioja/mapa
selling,http://idealista.com/venta-viviendas/las-palmas/mapa
selling,http://idealista.com/venta-viviendas/leon-provincia/mapa
selling,http://idealista.com/venta-viviendas/lleida-provincia/mapa
selling,http://idealista.com/venta-viviendas/lugo-provincia/mapa
selling,http://idealista.com/venta-viviendas/madrid-provincia/mapa
selling,http://idealista.com/venta-viviendas/malaga-provincia/mapa
selling,http://idealista.com/venta-viviendas/melilla-provincia/mapa
selling,http://idealista.com/venta-viviendas/murcia-provincia/mapa
selling,http://idealista.com/venta-viviendas/navarra/mapa
selling,http://idealista.com/venta-viviendas/ourense-provincia/mapa
selling,http://idealista.com/venta-viviendas/pais-vasco-frances/mapa
selling,http://idealista.com/venta-viviendas/palencia-provincia/mapa
selling,http://idealista.com/venta-viviendas/pontevedra-provincia/mapa
selling,http://idealista.com/venta-viviendas/salamanca-provincia/mapa
selling,http://idealista.com/venta-viviendas/santa-cruz-de-tenerife-provincia/mapa
selling,http://idealista.com/venta-viviendas/segovia-provincia/mapa
selling,http://idealista.com/venta-viviendas/sevilla-provincia/mapa
selling,http://idealista.com/venta-viviendas/soria-provincia/mapa
selling,http://idealista.com/venta-viviendas/tarragona-provincia/mapa
selling,http://idealista.com/venta-viviendas/teruel-provincia/mapa
selling,http://idealista.com/venta-viviendas/toledo-provincia/mapa
selling,http://idealista.com/venta-viviendas/valencia-provincia/mapa
selling,http://idealista.com/venta-viviendas/valladolid-provincia/mapa
selling,http://idealista.com/venta-viviendas/vizcaya/mapa
selling,http://idealista.com/venta-viviendas/zamora-provincia/mapa
selling,http://idealista.com/venta-viviendas/zaragoza-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/a-coruna-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/alava/mapa
renting,http://idealista.com/alquiler-viviendas/albacete-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/alicante/mapa
renting,http://idealista.com/alquiler-viviendas/almeria-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/andorra-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/asturias/mapa
renting,http://idealista.com/alquiler-viviendas/avila-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/badajoz-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/balears-illes/mapa
renting,http://idealista.com/alquiler-viviendas/barcelona-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/burgos-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/caceres-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/cadiz-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/cantabria/mapa
renting,http://idealista.com/alquiler-viviendas/castellon/mapa
renting,http://idealista.com/alquiler-viviendas/cerdanya-francesa/mapa
renting,http://idealista.com/alquiler-viviendas/ceuta-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/ciudad-real-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/cordoba-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/cuenca-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/girona-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/granada-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/guadalajara-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/guipuzcoa/mapa
renting,http://idealista.com/alquiler-viviendas/huelva-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/huesca-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/jaen-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/la-rioja/mapa
renting,http://idealista.com/alquiler-viviendas/las-palmas/mapa
renting,http://idealista.com/alquiler-viviendas/leon-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/lleida-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/lugo-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/madrid-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/malaga-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/melilla-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/murcia-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/navarra/mapa
renting,http://idealista.com/alquiler-viviendas/ourense-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/pais-vasco-frances/mapa
renting,http://idealista.com/alquiler-viviendas/palencia-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/pontevedra-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/salamanca-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/santa-cruz-de-tenerife-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/segovia-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/sevilla-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/soria-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/tarragona-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/teruel-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/toledo-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/valencia-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/valladolid-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/vizcaya/mapa
renting,http://idealista.com/alquiler-viviendas/zamora-provincia/mapa
renting,http://idealista.com/alquiler-viviendas/zaragoza-provincia/mapa
